,summarization
1974,"the hotel bar (Nero) was great, with a great humidified smoking room and very attentive staff. monsoon the Indian restaurant was pricy but worth it (the herb prawn starter was to die for)"
1975,I have stayed at this hotelabout 3 times in last 2 years and the serivce at hotel is always great.Location is great.the only thing I would say is that when I booked this time through AAA there was extra charge for breakfast rate and when reached hotel bkfst was complimentary.we enjoy our stay here everytime..
1976,"spent a quality time in delhi with my wife and I really like room hotel all environment,specially room service,publikas. spent time at hotel hotel in the u.s."
1977,Ranks on the higher end of Le Meridien's that I've stayed at. I was satisfied by my stay and the value and service.
1978,"stayed at the hotel for 4 nights in two different rooms. clean, modern hotel with good design throughout including'mood lighting&quot; in the rooms. staff were very helpful as you would hope/expect in a hotel of this class/price. only thing was we could not get the wi-fi to work so ended up using the expensive business centre to check email."
1979,the hotel was my favourite place in the city! Friendly staff. Very safety. we received a welcome drinks (coffee and tee) and welcome bindi.
1980,"I stayed here always when I visited New Delhi. the lobby is amazing; futuristic style.Room is great and spacious, beautiful bathroom.Exquisite.Very clean and well organized.Large flat screen tv in the room.Wi-fi available with charge.The concierge was very helpful.the hotel staff friendly.excellent breakfast.there are some shopping arcade in hotel. Try to visit Jaipur Gem Palace, they have nice collection of jewelry with reasonable price."
1981,"the hotel is currently under renovation, which means jackhammers and workmen throwing stuff out windows. the renovated room was decorated out in a cross between Ikea and Norwegian wood, with lots of sharp corners to bump into at night."
1982,"the hotel is located in the city centre area, but the room rate is surprisingly low, and staffs are nice. buffet dinner on the ground floor cafe cost you US$70 per person."
1983,"great hotel, very modern interior, spacious and airy. didnt appear to be many western visitors there. highly recommend all restaurants, particularly the chinese rest located on top floor. colonial decor but with great food and great view over delhi.down side would be lack of fast free internet acces, poor pool and sundeck area."
1984,it is one of the most classy elegant trendy trendy hotel i have ever seen during my business travel. the hotel is a beautiful clean stylish hotel where staff makes you feel at home if u alone. one imp thing internet is good. Would recommend business travelers definitely.
1985,the hotel did not send a limo to the airport because my PA didn't inform them. this differentiates the best from the better.#2: security check has been stepped up. i love this but to surrendder my swiss knife shows lack of discretion.
1986,"great service, great food, excellent rooms and a good location. checkins are always quick and the room is always just right."
1987,the staff are generally helpful and attentive (though note my comment later) it is a 5* hotel that caters well for business and leisure travellers.
1988,"the hotel is located in the center of the civic district, within walking distance of Connaught Place and short rides from the Beaux Arts buildings. the room I had was excellent--apparently recently renovated. room service was attentive and housekeeping was diligent. they provided complimentary water, which is very important for Delhi. too many pigeons and crow use it as a bird bath - and leave their stuff next to its rim."
